country,Production of citrus-2011,Production of citrus-2012,Production of citrus-2013,Production of citrus-2014,Production of citrus-2015,Production of citrus-2016,Production of citrus-2017,Production of citrus-2018,Production of citrus-2019,Total exports of citrus fruits-2011,Total exports of citrus fruits-2012,Total exports of citrus fruits-2013,Total exports of citrus fruits-2014,Total exports of citrus fruits-2015,Total exports of citrus fruits-2016,Total exports of citrus fruits-2017,Total exports of citrus fruits-2018,Total exports of citrus fruits-2019,Total import of citrus fruit-2011,Total import of citrus fruit-2012,Total import of citrus fruit-2013,Total import of citrus fruit-2014,Total import of citrus fruit-2015,Total import of citrus fruit-2016,Total import of citrus fruit-2017,Total import of citrus fruit-2018,Total import of citrus fruit-2019
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.9,169.7,138.4,120.4,167.2,142.4,92.3,87.1,87.1
Africa,12146.2,12760.9,13131.1,14061,14128.3,14111.7,14531,14812,15579.4,3162.3,3242.9,3217.3,3315,3820.1,3895.9,4315.3,5661.2,4810.1,128.6,238.9,164.5,210.2,283.5,132.9,138.9,171.5,172.1
Albania,15,18.9,19.7,21.1,29.9,39.8,41,52.9,51.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1106.6,1087.8,1204.8,1270.9,1342,1203.3,1344.4,1477.5,1593.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,3613.5,2895.8,2824.2,2593.6,3184.7,3281.3,3272,3012.2,3469.3,507.1,454.7,451.6,316.2,310.1,394.4,362.7,375.9,343.7,0,0,0,0,0,0,0,0,0
Asia,53728.1,56443.3,62081.2,64180.1,66505.1,60849.4,63909.4,65332.8,71887.861,3119.3,3079.7,3139.3,3311.4,3206.3,3426.6,3232.6,3813,3542.1,3642.5,3564.9,3646.7,4089.8,4385.1,4529.4,4269.4,4260.6,4236.2
Australia,0.1,0.1,0.8,1.2,0.3,0.2,0.1,0,0,140.9,169.1,175.4,167.6,217.7,231.8,262.8,254.5,291,30.9,27.6,35,28.9,30.3,27.4,31.5,31.6,23.3
Austria,0,0,0,0,0,0,0,0,0,37.5,32.1,30.4,29,25.5,24.4,20.8,20.2,21.4,153.4,156.4,161.5,157.6,163.6,171.1,148.2,155.7,155.3
Azerbaijan,20.3,28.3,36.7,32.1,35.7,46.8,42.8,44.7,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,27.9,27.9,28.4,30.2,30.4,30.9,31.5,31.5,31.1,0,0,0,0,0,0,0,0,0,2.1,2.4,2.9,1.4,2.2,2.4,2.6,2.8,2.9
Bangladesh,136.7,147.3,150.4,154.6,156.9,155.9,158.7,162,165.3,0,0,0,0,0,0,0,0,0,120,101.3,102.6,78.8,165.1,73.7,121.6,104.8,104.8
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.2,2.3,2.3,2.3,2.6,2.4,2.5,2.7
Belarus,0,0,0,0,0,0,0,0,0,0.6,3.6,9.1,22.8,44.4,17.1,15.9,12.7,10.1,67.3,78.1,96,105.1,122,92.2,82.5,82.8,86.5
Belgium,0,0,0,0,0,0,0,0,0,47.6,57,61.1,57,61.5,62,56.1,50.3,50.8,237.6,243.5,254,249.6,251.2,268,250.8,246.9,215.7
Belize,206,269,190,190.7,193.7,146.1,137.5,106.8,103,3,3.2,2.5,4.1,3.5,5.2,2.5,4.2,3.9,0,0,0,0,0,0,0,0,0
Benin,14,14.5,14,14,14,14.1,14.2,14.2,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,63.6,49.5,49.1,41.5,16,42,28,38.9,27.5,18.9,22.4,22.4,19.6,17.8,15.5,16.1,16.3,16.5,0,0,0,0,0,0,0,0,0
Bolivia,324,330.2,322.5,414.2,431.2,436.4,433.4,460.6,466.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,22018.8,20258.6,19734.7,19074.1,19213.5,19308.2,19834.7,19273.5,19652.8,100.7,96.1,102.7,113.3,121,127.7,125.6,129.3,137.5,19.3,20.6,26.6,28.5,26.7,29.7,29.7,29.8,44.3
Bulgaria,0,0,0,0,0,0,0,0,0,6.7,7.7,6.8,6.4,14.4,15.4,14.9,27.3,22.5,69,66.5,72.2,87,94.4,106.6,96.4,98.3,107.3
Cambodia,70,70,70.2,70.2,70.1,71,71,70.8,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,456.7,458.9,472.7,442,464.5,492.1,469.5,489.5,471.1
Caribbean,827.7,794.6,753.2,681.1,680.9,627.3,616.7,620.5,589.6,18.5,15.2,17.1,9.3,5.1,9,6.3,6.9,6.24,6.7,6.6,6.6,5.9,7.3,8.4,11.7,7.3,6.6
Central African Republic,37.7,38.8,35.9,36.1,35.7,36.8,37.3,37.3,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central America,8427.2,8081.8,8819.3,8947.6,9086.2,9239.7,9396.4,9301.5,9684.5,641.4,700.3,677.1,691.9,793.6,895.5,986.8,924.7,939.3,171.5,211.1,185.6,144.5,138.6,180,168.7,177,164.4
Chile,333.9,360.4,368.9,349.1,365.3,349.1,382.5,387.3,496.8,157.4,167,169,157.7,210.4,251.1,271.7,335.6,335.5,10.1,6.1,8.9,10.2,7,8.6,12.2,11.4,17.7
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,104.9,85.7,67.3,106.4,116.4,162.2,238.6,254.7,230,268.9,260.8,278.3,336.3,333.1,358.4,414.7,389.9,415.7
"China, Mainland",28939.9,31830.4,34609,36105,38153.9,32377.8,33566,34105.6,37739,800.1,955.8,881.4,841.2,765.6,764.7,578.8,752.6,773.5,131.8,126.2,128.6,161.8,214.9,295.7,466.4,587,554.6
"China, Taiwan",482.6,458.5,445.3,475.8,410,399.2,394.3,396.6,452.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,467.8,478.4,505.8,508.6,565.5,567.4,676.7,793.8,887.7,3.2,3.8,8.1,19.1,18,17.4,35,35.7,54.9,0,0,0,0,0,0,0,0,0
Congo,23.7,25.7,25.7,24.4,23.5,24.5,24.5,24.8,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,374.1,330.8,332.6,274.4,283,288.9,294.7,294.4,287.6,0,0,0,0,0,0,0,0,0,76,85.8,68.3,56.9,36.7,59.6,70.4,70.3,60.5
Croatia,42.9,51.6,40.6,65.3,36.5,53.5,19.4,48.5,52.06,26,36.3,20.7,49.4,19.3,46.3,20.3,33.6,23.9,0,0,0,0,0,0,0,0,0
Cuba,264.5,203.6,166.9,96.8,115.5,119.4,101.2,96.9,60.8,4.3,1.7,3.2,0.6,0.4,2.4,1.5,1.5,1.54,0,0,0,0,0,0,0,0,0
Cyprus,128.8,112.4,106.4,106.5,117,94,80.6,83.1,65.9,49.9,48.8,50.1,36.9,25.1,27.6,24.7,22.8,20.8,0,0,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,0,0,0,24,26.6,22.4,21.8,21.6,19.2,13.2,13.9,12.2,161,162.2,162.7,157.8,174.7,169.1,148.1,161.6,156.6
C™te d'Ivoire,61.8,64.3,65.1,65.5,65.3,64.7,65.3,63.5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,199.3,194.6,188.8,189.5,190.5,187.5,186.3,186.3,186.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
