,Citrus Type,Measure Type,Year,Afghanistan,Africa,Albania,Algeria,Argentina,Asia,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Caribbean,Central African Republic,Central America,Chile,"China, Hong Kong SAR","China, Mainland","China, Taiwan",Colombia,Congo,Costa Rica,Croatia,Cuba,Cyprus,Czechia,Côte d'Ivoire,Democratic Republic of Congo,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Europe,Fiji,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Haiti,Honduras,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Laos,Lebanon,Libya,Lithuania,Madagascar,Malawi,Malaysia,Mali,Mexico,Morocco,Mozambique,Nepal,Netherlands,New Zealand,Nicaragua,Northern America,Norway,Oceania,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Republic of Korea,Romania,Russian Federation,Saudi Arabia,Senegal,Serbia,Singapore,Slovenia,Somalia,South Africa,South America,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,Venezuela,Viet Nam,WORLD,Yemen,Zimbabwe,Armenia,Bahrain,Bermuda,Bosnia and Herzegovina,Hungary,Ireland,Latvia,North Macedonia,Others ,Qatar,Slovakia,Zambia,Aruba,Kyrgyzstan,Mauritania,Mauritius,Syrian Republic,Djibouti,Antigua and Barbuda,French Polynesia
0,citrus,Production,2011,0,12146.2,15,1106.6,3613.5,53728.1,0.1,0,20.3,27.9,136.7,0,0,0,206,14,63.6,324,22018.8,0,70,0,827.7,37.7,8427.2,333.9,0,28939.9,482.6,467.8,23.7,374.1,42.9,264.5,128.8,0,61.8,199.3,0,22,176.1,75.3,3724.9,69,65.8,11003.2,0,0,50.7,54.9,0,645,1063,300.8,0,117.5,306.7,6875,1818.9,3337.3,100.7,467.5,3823.6,176.5,983.4,106.9,0,99.1,0,100.3,230.8,76.8,0,50.4,187.2,35,370.3,7031.1,1636.3,92.5,259.2,0,0.1,95.5,12752.1,0,0.3,0,1982.2,44,325.2,884.8,53.5,0,275.6,22.8,680.5,0,0,0,50,0,0,0,0,2320,28964,13.5,5720.4,12.7,29.4,558.6,19.3,0,0,962.6,1030.4,8,7,325.7,3611.6,0,0,0,0,298.5,12752.1,270.4,621.9,955.6,127848.8,167.6,134.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,citrus,Production,2012,0,12760.9,18.9,1087.8,2895.8,56443.3,0.1,0,28.3,27.9,147.3,0,0,0,269,14.5,49.5,330.2,20258.6,0,70,0,794.6,38.8,8081.8,360.4,0,31830.4,458.5,478.4,25.7,330.8,51.6,203.6,112.4,0,64.3,194.6,0,21.1,203.5,87,3978.3,124.5,50.2,9924.8,0,0,52.7,77,0,671,1093.4,289.5,0,128.8,319.8,6955,1611.8,3560.3,102.8,605.7,2883.9,167.3,892.7,111.1,0,103.6,0,94.2,250.8,77.5,0,60,188.6,33.8,420.7,6603.2,1866.9,88.8,236.8,0,0.1,100,11982.2,0,0.3,0,2036,45,338.4,948.2,52.2,0,258.1,23.1,692.2,0,0,0,45,0,0,0,13,2324.2,26595.3,14,5553.8,13,27.4,574,18.7,0,0,749.2,995.5,8.2,6.6,337.8,3472.8,0,0,0,0,325,11982.2,329.6,542.1,958.2,126583.2,190,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,citrus,Production,2013,0,13131.1,19.7,1204.8,2824.2,62081.2,0.8,0,36.7,28.4,150.4,0,0,0,190,14,49.1,322.5,19734.7,0,70.2,0,753.2,35.9,8819.3,368.9,0,34609,445.3,505.8,25.7,332.6,40.6,166.9,106.4,0,65.1,188.8,0,22,193,80.6,4096.9,90.9,46.9,10569.4,0,0,44.9,110.4,0,709.6,1118,293.9,0,145.9,296.4,9235,1654.7,3712,124.4,526,2678.7,154.2,937.2,96.3,0,102.9,0,88.8,239,78.1,0,65.5,190.7,39.7,531.9,7467.7,1452,148.4,210.4,0,0.8,101.9,12724.8,0,2.4,0,2008.8,45.9,331.5,994.3,49.8,0,287.3,23.3,682.8,0,0,0,40,0,0,0,14,2652.6,26013.9,14.2,6367.1,13.5,22.3,579.8,21.5,0,0,1027.9,966.8,8,6.6,309.3,3678.6,0,0,0,0,371.2,12724.8,234.6,585.9,971.6,134095.3,190.5,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,citrus,Production,2014,0,14061,21.1,1270.9,2593.6,64180.1,1.2,0,32.1,30.2,154.6,0,0,0,190.7,14,41.5,414.2,19074.1,0,70.2,0,681.1,36.1,8947.6,349.1,0,36105,475.8,508.6,24.4,274.4,65.3,96.8,106.5,0,65.5,189.5,0,23.4,210.7,153.5,4399.1,86,48.3,11139.6,0,0,53.4,69.8,0,736.6,976.9,297.4,0,148,294.4,10401.1,1926.6,2799,128.1,518.4,2661.6,140.3,908.6,94.3,0,101.4,0,94.8,239.4,79.3,0,66.3,191.7,35.9,141.9,7655.2,2213.6,171.2,216.9,0,1.2,102.6,12228.9,0,3.6,0,2010.4,46.9,329.9,1071.8,48.3,0,304,12,722.3,0,0,0,50,0,0,0,16,2714,25483.8,14.4,7043.4,14.2,20.1,591,18.4,0,0,927.9,956,8,6.6,326.4,3781.4,0,0,0,0,407.2,12228.9,287.3,672.4,1056.1,136725.7,192.5,137.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,citrus,Production,2015,0,14128.3,29.9,1342,3184.7,66505.1,0.3,0,35.7,30.4,156.9,0,0,0,193.7,14,16,431.2,19213.5,0,70.1,0,680.9,35.7,9086.2,365.3,0,38153.9,410,565.5,23.5,283,36.5,115.5,117,0,65.3,190.5,0,23.4,189.7,156.6,4646.5,88.1,47.7,10375.2,0,0,43.5,77.5,0,737.4,1035.2,306.4,0,139.8,296.1,10920.5,1856.2,2827.4,74.7,522.5,3120.9,148.4,811.2,126,0,102.7,0,99.4,228.7,79.3,0,68.3,203.4,33.3,139,7768.8,1892.1,142.9,216.1,0,0.3,102.1,13095.9,0,0.9,0,1928,48,331.2,1102.9,48.4,0,301.5,14.3,672,0,0,0,50,0,0,0,17.5,2701.4,26261.6,14.4,5805.8,14.1,19.2,640.6,14,0,0,945.5,925.1,8,6.5,370.5,3973.7,0,0,0,0,410,13095.9,252,626.7,1037.5,140134.1,156.6,140.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,citrus,Production,2016,0,14111.7,39.8,1203.3,3281.3,60849.4,0.2,0,46.8,30.9,155.9,0,0,0,146.1,14.1,42,436.4,19308.2,0,71,0,627.3,36.8,9239.7,349.1,0,32377.8,399.2,567.4,24.5,288.9,53.5,119.4,94,0,64.7,187.5,0,23.4,168,148.6,4310,92.5,37.7,11389.5,0,0,75.2,65.5,0,782.4,1038.1,312.8,50.4,180,311.6,10409.5,2138.5,2432.7,81,488.5,2728.4,72.9,828.5,124.2,0,100.7,0,100,307.6,81.4,0,78.3,190.6,33.4,527.3,7938.7,2362.4,118.2,212.3,0,0.2,109.6,14034.5,0,0.6,0,2344.2,39.5,331.4,1171.8,45.8,0,354.2,14.5,640,0,0,0,48.6,0,0,0,19,2193.6,26436.1,14.6,7085.8,304.8,18.1,650.1,12,0,0,1056.8,102.3,8,6.2,342,4290.7,0,0,0,0,481.9,14034.5,271.1,548.4,1457.5,136688.8,150.9,139.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,citrus,Production,2017,0,14531,41,1344.4,3272,63909.4,0.1,0,42.8,31.5,158.7,0,0,0,137.5,14.2,28,433.4,19834.7,0,71,0,616.7,37.3,9396.4,382.5,0,33566,394.3,676.7,24.5,294.7,19.4,101.2,80.6,0,65.3,186.3,0,23.3,169.9,217.6,4390.1,96.9,37.3,10635.2,0,0,78.9,58.1,0,813.1,985,309.4,52.2,185.7,313.2,10363,2295.3,2643.3,82.2,555.9,2791.7,71.4,761.4,107.8,0,100.8,0,101.9,306.9,82.3,0,81.4,218.5,33.2,537.5,8092.4,2275.4,107.9,240.5,0,0.1,112.6,13994.5,0,0.3,0,2267.5,39.7,331.5,1081,43.8,0,374.4,15.3,688.1,0,0,0,48.4,0,0,0,19.5,2411.1,27037,14.8,6330.7,294.7,17.8,658.8,21,0,0,1054.4,1019.9,8,6.2,348.9,4767.6,0,0,0,0,467.6,13994.5,264.1,504.2,1683.9,140120.5,152.2,141.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,citrus,Production,2018,0,14812,52.9,1477.5,3012.2,65332.8,0,0,44.7,31.5,162,0,0,0,106.8,14.2,38.9,460.6,19273.5,0,70.8,0,620.5,37.3,9301.5,387.3,0,34105.6,396.6,793.8,24.8,294.4,48.5,96.9,83.1,0,63.5,186.3,0,23.3,183.1,161.1,4530.5,124.7,37.4,11086.9,0,0,83.9,66.3,0,835.4,1120.4,308.7,54.7,184.2,305.8,10635.7,2510.4,2870.3,80.5,474.3,2600.5,68.3,787.9,108.8,0,101.4,0,101.9,302.7,82,0,85.2,213.8,29.2,145.3,8007.1,2619.1,107.8,242.6,0,0,114.3,14744.8,0,0,0,2037.4,39.7,331.5,1249.3,42.2,0,402.8,15,660.3,0,0,0,52.1,0,0,0,19.5,2393.1,26502.3,15,6776.3,373.1,18,668.4,21.1,0,0,1116.6,1002.7,8.4,6.2,356.4,4900,0,0,0,0,504.5,14744.8,216.9,582.3,1876.4,142400.8,164.2,134.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,citrus,Production,2019,0,15579.4,51.866,1593.5,3469.3,71887.861,0,0,46.8,31.1,165.3,0,0,0,103,15.5,27.5,466.3,19652.8,0,71.2,0,589.6,45.2,9684.5,496.8,0,37739,452.709,887.7,15.9,287.6,52.06,60.8,65.9,0,67,186.8,0,20.4,178.6,184.3,4632.7,86.5,46.7,10537.803,0,0,52.9,64,0,829.6,1085.08,304.1,54.7,182.7,319.1,13314.3,2104.6,3453.8,139.7,510.4,2864.97,76.5,768.6,110.9,0,108.9,0,103.6,309.043,85.1,0,100.8,232.7,31.6,136.6,8413.7,2604.3,79.7,266.809,0,0,130.1,15043.4,0,0,0,2289.3,40.4,324.5,1331,40.5,0,398.83,13.7,645,0,0,0,48.5,0,0,0,24.5,2771.7,27736.3,22,6008.57,375.5,18.5,743.2,21.3,0,0,982.4,1123.3,15.9,7.8,393.3,4299.2,0,0,0,0,535.3,15043.4,242.6,619.2,2202.1,151058.864,165,139.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,citrus,Exports,2011,0,3162.3,0,0,507.1,3119.3,140.9,37.5,0,0,0,0,0.6,47.6,3,0,18.9,0,100.7,6.7,0,0.1,18.5,0,641.4,157.4,104.9,800.1,0,3.2,0,0,26,4.3,49.9,24,0,0,0,0,6.7,29.1,1083.6,3.4,0,5526.9,0,0,82.6,13.8,90.9,0,487.7,11.5,0,0,41.6,53.4,0,43,0,115.6,295.7,6.9,0,14.4,0,0,0,0,124.4,0,68.7,0,0,0,0,505.8,524.4,0,0,447.5,3.3,75.1,1235.6,0,144.2,0,331.9,0,0,83.8,0,65.2,63.5,0,0,0,3.8,0,0,0,8.4,37.9,0,1481,1008,0,3656.1,0,0,0,0,0,0,19.4,17.8,0,0,24,1324.2,0.2,0,29.7,47.2,9.9,947.1,120.5,0,0.9,14712,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
